language,workload,threads,config_type,wall_time_s
go,matrix_multiplication,1,p_base,12.995000000000001
go,matrix_multiplication,8,p_best,2.83
go,parallel_sort,1,p_base,6.09
go,parallel_sort,8,p_best,2.2649999999999997
go,producer_consumer,1,p_base,6.08
go,producer_consumer,8,p_best,2.27
java,matrix_multiplication,1,p_base,1.09
java,matrix_multiplication,8,p_best,0.2
java,parallel_sort,1,p_base,0.13
java,parallel_sort,4,p_best,0.09
java,producer_consumer,1,p_base,0.09
java,producer_consumer,4,p_best,0.06
python,matrix_multiplication,1,p_base,90.91499999999999
python,matrix_multiplication,8,p_best,13.98
python,parallel_sort,1,p_base,0.83
python,parallel_sort,4,p_best,0.46
python,producer_consumer,1,p_base,6.44
python,producer_consumer,2,p_best,3.3449999999999998
rust,matrix_multiplication,1,p_base,1.12
rust,matrix_multiplication,8,p_best,0.16
rust,parallel_sort,1,p_base,0.04
rust,parallel_sort,8,p_best,0.02
rust,producer_consumer,1,p_base,0.02
