language,workload,config_type,threads,wall_time_s,speedup,efficiency
go,matrix_multiplication,p_base,1,12.995000000000001,1.0,1.0
go,matrix_multiplication,p_best,8,2.83,4.591872791519435,0.5739840989399294
go,parallel_sort,p_base,1,6.09,1.0,1.0
go,parallel_sort,p_best,8,2.2649999999999997,2.688741721854305,0.33609271523178813
go,producer_consumer,p_base,1,6.08,1.0,1.0
go,producer_consumer,p_best,8,2.27,2.6784140969162995,0.33480176211453744
java,matrix_multiplication,p_base,1,1.09,1.0,1.0
java,matrix_multiplication,p_best,8,0.2,5.45,0.68125
java,parallel_sort,p_base,1,0.13,1.0,1.0
java,parallel_sort,p_best,4,0.09,1.4444444444444446,0.36111111111111116
java,producer_consumer,p_base,1,0.09,1.0,1.0
java,producer_consumer,p_best,4,0.06,1.5,0.375
python,matrix_multiplication,p_base,1,90.91499999999999,1.0,1.0
python,matrix_multiplication,p_best,8,13.98,6.503218884120171,0.8129023605150214
python,parallel_sort,p_base,1,0.83,1.0,1.0
python,parallel_sort,p_best,4,0.46,1.8043478260869563,0.4510869565217391
python,producer_consumer,p_base,1,6.44,1.0,1.0
python,producer_consumer,p_best,2,3.3449999999999998,1.9252615844544099,0.9626307922272049
rust,matrix_multiplication,p_base,1,1.12,1.0,1.0
rust,matrix_multiplication,p_best,8,0.16,7.000000000000001,0.8750000000000001
rust,parallel_sort,p_base,1,0.04,1.0,1.0
rust,parallel_sort,p_best,8,0.02,2.0,0.25
rust,producer_consumer,p_base,1,0.02,1.0,1.0
