language,workload,config_type,threads,wall_time_s,cpu_pct,peak_rss_kb,speedup,efficiency
go,matrix_multiplication,p_base,1,12.995000000000001,99.0,242778.0,1.0,1.0
go,matrix_multiplication,p_best,8,2.83,409.0,229084.0,4.591872791519435,0.5739840989399294
go,parallel_sort,p_base,1,6.09,99.0,247188.0,1.0,1.0
go,parallel_sort,p_best,8,2.2649999999999997,317.0,229314.0,2.688741721854305,0.33609271523178813
go,producer_consumer,p_base,1,6.08,99.0,246244.0,1.0,1.0
go,producer_consumer,p_best,8,2.27,316.0,227896.0,2.6784140969162995,0.33480176211453744
java,matrix_multiplication,p_base,1,1.09,99.0,55530.0,1.0,1.0
java,matrix_multiplication,p_best,8,0.2,667.0,57478.0,5.45,0.68125
java,parallel_sort,p_base,1,0.13,96.0,128424.0,1.0,1.0
java,parallel_sort,p_best,4,0.09,266.0,165922.0,1.4444444444444446,0.36111111111111116
java,producer_consumer,p_base,1,0.09,97.0,43408.0,1.0,1.0
java,producer_consumer,p_best,4,0.06,203.0,46770.0,1.5,0.375
python,matrix_multiplication,p_base,1,90.91499999999999,99.0,26924.0,1.0,1.0
python,matrix_multiplication,p_best,8,13.98,771.5,26776.0,6.503218884120171,0.8129023605150214
python,parallel_sort,p_base,1,0.83,99.0,86602.0,1.0,1.0
python,parallel_sort,p_best,4,0.46,240.0,115442.0,1.8043478260869563,0.4510869565217391
python,producer_consumer,p_base,1,6.44,99.0,14412.0,1.0,1.0
python,producer_consumer,p_best,2,3.3449999999999998,182.0,14352.0,1.9252615844544099,0.9626307922272049
rust,matrix_multiplication,p_base,1,1.12,99.0,18672.0,1.0,1.0
rust,matrix_multiplication,p_best,8,0.16,757.5,18444.0,7.000000000000001,0.8750000000000001
rust,parallel_sort,p_base,1,0.04,98.5,17322.0,1.0,1.0
rust,parallel_sort,p_best,8,0.02,242.5,24106.0,2.0,0.25
rust,producer_consumer,p_base,1,0.02,100.0,2316.0,1.0,1.0
